date,close,high,low,open
10/28/16.10.2016__00:00__AM,113.72,115.21,113.45,113.87
10/31/16.10.2016__00:00__AM,113.54,114.23,113.2,113.65
11/01/16.11.2016__00:00__AM,111.49,113.77,110.53,113.46
11/02/16.11.2016__00:00__AM,111.59,112.35,111.23,111.4
11/03/16.11.2016__00:00__AM,109.83,111.46,109.55,110.98
11/04/16.11.2016__00:00__AM,108.84,110.25,108.11,108.53
11/07/16.11.2016__00:00__AM,110.41,110.51,109.46,110.08
11/08/16.11.2016__00:00__AM,111.06,111.72,109.7,110.31
11/09/16.11.2016__00:00__AM,110.88,111.32,108.05,109.88
11/10/16.11.2016__00:00__AM,107.79,111.09,105.83,111.09
11/11/16.11.2016__00:00__AM,108.43,108.87,106.55,107.12
11/14/16.11.2016__00:00__AM,105.71,107.809,104.08,107.71
11/15/16.11.2016__00:00__AM,107.11,107.68,106.1593,106.57
11/16/16.11.2016__00:00__AM,109.99,110.23,106.6,106.7
11/17/16.11.2016__00:00__AM,109.95,110.35,108.83,109.81
11/18/16.11.2016__00:00__AM,110.06,110.54,109.66,109.72
11/21/16.11.2016__00:00__AM,111.73,111.99,110.01,110.12
11/22/16.11.2016__00:00__AM,111.8,112.42,111.4,111.95
11/23/16.11.2016__00:00__AM,111.23,111.51,110.33,111.36
11/25/16.11.2016__00:00__AM,111.79,111.87,110.95,111.13
11/28/16.11.2016__00:00__AM,111.57,112.465,111.39,111.43
11/29/16.11.2016__00:00__AM,111.46,112.03,110.07,110.78
11/30/16.11.2016__00:00__AM,110.52,112.2,110.27,111.6
12/01/16.12.2016__00:00__AM,109.49,110.94,109.03,110.365
12/02/16.12.2016__00:00__AM,109.9,110.09,108.85,109.17
12/05/16.12.2016__00:00__AM,109.11,110.03,108.25,110.0
12/06/16.12.2016__00:00__AM,109.95,110.36,109.19,109.5
12/07/16.12.2016__00:00__AM,111.03,111.19,109.16,109.26
12/08/16.12.2016__00:00__AM,112.12,112.43,110.6,110.86
12/09/16.12.2016__00:00__AM,113.95,114.7,112.31,112.31
12/12/16.12.2016__00:00__AM,113.3,115.0,112.49,113.29
12/13/16.12.2016__00:00__AM,115.19,115.92,113.75,113.84
12/14/16.12.2016__00:00__AM,115.19,116.2,114.98,115.04
12/15/16.12.2016__00:00__AM,115.82,116.73,115.23,115.38
12/16/16.12.2016__00:00__AM,115.97,116.5,115.645,116.47
12/19/16.12.2016__00:00__AM,116.64,117.38,115.75,115.8
12/20/16.12.2016__00:00__AM,116.95,117.5,116.68,116.74
12/21/16.12.2016__00:00__AM,117.06,117.4,116.78,116.8
12/22/16.12.2016__00:00__AM,116.29,116.51,115.64,116.35
12/23/16.12.2016__00:00__AM,116.52,116.52,115.59,115.59
12/27/16.12.2016__00:00__AM,117.26,117.8,116.49,116.52
12/28/16.12.2016__00:00__AM,116.76,118.0166,116.2,117.52
12/29/16.12.2016__00:00__AM,116.73,117.1095,116.4,116.45
12/30/16.12.2016__00:00__AM,115.82,117.2,115.43,116.65
01/03/17.01.2017__00:00__AM,116.15,116.33,114.76,115.8
01/04/17.01.2017__00:00__AM,116.02,116.51,115.75,115.85
01/05/17.01.2017__00:00__AM,116.61,116.8642,115.81,115.92
01/06/17.01.2017__00:00__AM,117.91,118.16,116.47,116.78
